review_text,review_id,cleaned_review,sentiment_score,sentiment_label,sentiment
Not satisfied. Expected better build quality.,1114,not satisfied expected better build quality,-0.5773,negative,Negative
,1115,,,neutral,Neutral
,1116,,,neutral,Neutral
The height is just right for cleaning and painting tasks,1117,height right cleaning painting tasks,0.0,neutral,Positive
good,1118,good,0.4404,positive,Positive
good product,1119,good product,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,1120,height right cleaning painting tasks,0.0,neutral,Positive
This ladder is compact and easy to carry around,1121,ladder compact easy carry around,0.4404,positive,Positive
Not satisfied. Expected better build quality.,1122,not satisfied expected better build quality,-0.5773,negative,Negative
Sturdy and reliable,1123,sturdy reliable,0.0,neutral,Neutral
Not satisfied. Expected better build quality.,1124,not satisfied expected better build quality,-0.5773,negative,Negative
,1125,,,neutral,Neutral
"Good product, works as expected",1126,good product works expected,0.4404,positive,Positive
good,1127,good,0.4404,positive,Positive
The quality is excellent; I feel safe using it,1128,quality excellent feel safe using,0.765,positive,Positive
"A bit heavy to handle, but overall it does the job well",1129,bit heavy handle overall job well,0.2732,positive,Positive
Not happy with the stability; it wobbles a bit,1130,not happy stability wobbles bit,-0.4585,negative,Negative
good,1131,good,0.4404,positive,Positive
Not satisfied. Expected better build quality.,1132,not satisfied expected better build quality,-0.5773,negative,Negative
,1133,,,neutral,Neutral
good product,1134,good product,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1135,sturdy feels safe use highly recommended,0.6115,positive,Positive
"A bit heavy to handle, but overall it does the job well",1136,bit heavy handle overall job well,0.2732,positive,Positive
The ladder feels a bit shakyNot worth the price,1137,ladder feels bit shakynot worth price,0.2263,positive,Negative
The ladder feels a bit shakyNot worth the price,1138,ladder feels bit shakynot worth price,0.2263,positive,Negative
Not satisfied. Expected better build quality.,1139,not satisfied expected better build quality,-0.5773,negative,Negative
Very sturdy and feels safe to use. Highly recommended!,1140,sturdy feels safe use highly recommended,0.6115,positive,Positive
"A bit heavy to handle, but overall it does the job well",1141,bit heavy handle overall job well,0.2732,positive,Positive
Not satisfied. Expected better build quality.,1142,not satisfied expected better build quality,-0.5773,negative,Negative
Easy to fold and store. Perfect for my small space!,1143,easy fold store perfect small space,0.765,positive,Positive
The height is just right for cleaning and painting tasks,1144,height right cleaning painting tasks,0.0,neutral,Positive
"Good product, works as expected",1145,good product works expected,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,1146,height right cleaning painting tasks,0.0,neutral,Positive
good product,1147,good product,0.4404,positive,Positive
Not happy with the stability; it wobbles a bit,1148,not happy stability wobbles bit,-0.4585,negative,Negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1149,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"Some scratches were present upon delivery, but it's functional",1150,scratches present upon delivery functional,0.0,neutral,Neutral
The height is just right for cleaning and painting tasks,1151,height right cleaning painting tasks,0.0,neutral,Positive
"Some scratches were present upon delivery, but it's functional",1152,scratches present upon delivery functional,0.0,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1153,easy fold store perfect small space,0.765,positive,Positive
Sturdy and reliable,1154,sturdy reliable,0.0,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1155,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
,1156,,,neutral,Neutral
good product,1157,good product,0.4404,positive,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1158,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
,1159,,,neutral,Neutral
,1160,,,neutral,Neutral
"Good product, works as expected",1161,good product works expected,0.4404,positive,Positive
Not satisfied. Expected better build quality.,1162,not satisfied expected better build quality,-0.5773,negative,Negative
,1163,,,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",1164,scratches present upon delivery functional,0.0,neutral,Neutral
The quality is excellent; I feel safe using it,1165,quality excellent feel safe using,0.765,positive,Positive
"Some scratches were present upon delivery, but it's functional",1166,scratches present upon delivery functional,0.0,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1167,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
Not satisfied. Expected better build quality.,1168,not satisfied expected better build quality,-0.5773,negative,Negative
This ladder is compact and easy to carry around,1169,ladder compact easy carry around,0.4404,positive,Positive
,1170,,,neutral,Neutral
Not satisfied. Expected better build quality.,1171,not satisfied expected better build quality,-0.5773,negative,Negative
good product,1172,good product,0.4404,positive,Positive
"Some scratches were present upon delivery, but it's functional",1173,scratches present upon delivery functional,0.0,neutral,Neutral
"A bit heavy to handle, but overall it does the job well",1174,bit heavy handle overall job well,0.2732,positive,Positive
Not happy with the stability; it wobbles a bit,1175,not happy stability wobbles bit,-0.4585,negative,Negative
This ladder is compact and easy to carry around,1176,ladder compact easy carry around,0.4404,positive,Positive
,1177,,,neutral,Neutral
Sturdy and reliable,1178,sturdy reliable,0.0,neutral,Neutral
good,1179,good,0.4404,positive,Positive
,1180,,,neutral,Neutral
Sturdy and reliable,1181,sturdy reliable,0.0,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",1182,scratches present upon delivery functional,0.0,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1183,easy fold store perfect small space,0.765,positive,Positive
The quality is excellent; I feel safe using it,1184,quality excellent feel safe using,0.765,positive,Positive
good product,1185,good product,0.4404,positive,Positive
,1186,,,neutral,Neutral
,1187,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1188,easy fold store perfect small space,0.765,positive,Positive
,1189,,,neutral,Neutral
good,1190,good,0.4404,positive,Positive
This ladder is compact and easy to carry around,1191,ladder compact easy carry around,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,1192,height right cleaning painting tasks,0.0,neutral,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1193,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
The quality is excellent; I feel safe using it,1194,quality excellent feel safe using,0.765,positive,Positive
Easy to fold and store. Perfect for my small space!,1195,easy fold store perfect small space,0.765,positive,Positive
Not satisfied. Expected better build quality.,1196,not satisfied expected better build quality,-0.5773,negative,Negative
Not satisfied. Expected better build quality.,1197,not satisfied expected better build quality,-0.5773,negative,Negative
,1198,,,neutral,Neutral
,1199,,,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1200,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
The quality is excellent; I feel safe using it,1201,quality excellent feel safe using,0.765,positive,Positive
"Good product, works as expected",1202,good product works expected,0.4404,positive,Positive
good,1203,good,0.4404,positive,Positive
good product,1204,good product,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1205,sturdy feels safe use highly recommended,0.6115,positive,Positive
The quality is excellent; I feel safe using it,1206,quality excellent feel safe using,0.765,positive,Positive
"A bit heavy to handle, but overall it does the job well",1207,bit heavy handle overall job well,0.2732,positive,Positive
Not satisfied. Expected better build quality.,1208,not satisfied expected better build quality,-0.5773,negative,Negative
"A bit heavy to handle, but overall it does the job well",1209,bit heavy handle overall job well,0.2732,positive,Positive
The quality is excellent; I feel safe using it,1210,quality excellent feel safe using,0.765,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1211,sturdy feels safe use highly recommended,0.6115,positive,Positive
"Good product, works as expected",1212,good product works expected,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1213,sturdy feels safe use highly recommended,0.6115,positive,Positive
good product,1214,good product,0.4404,positive,Positive
Sturdy and reliable,1215,sturdy reliable,0.0,neutral,Neutral
Very sturdy and feels safe to use. Highly recommended!,1216,sturdy feels safe use highly recommended,0.6115,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1217,sturdy feels safe use highly recommended,0.6115,positive,Positive
"Some scratches were present upon delivery, but it's functional",1218,scratches present upon delivery functional,0.0,neutral,Neutral
good product,1219,good product,0.4404,positive,Positive
This ladder is compact and easy to carry around,1220,ladder compact easy carry around,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,1221,ladder feels bit shakynot worth price,0.2263,positive,Negative
"Some scratches were present upon delivery, but it's functional",1222,scratches present upon delivery functional,0.0,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",1223,scratches present upon delivery functional,0.0,neutral,Neutral
The height is just right for cleaning and painting tasks,1224,height right cleaning painting tasks,0.0,neutral,Positive
,1225,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1226,easy fold store perfect small space,0.765,positive,Positive
The quality is excellent; I feel safe using it,1227,quality excellent feel safe using,0.765,positive,Positive
The height is just right for cleaning and painting tasks,1228,height right cleaning painting tasks,0.0,neutral,Positive
Sturdy and reliable,1229,sturdy reliable,0.0,neutral,Neutral
"Good product, works as expected",1230,good product works expected,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,1231,ladder feels bit shakynot worth price,0.2263,positive,Negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1232,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"Good product, works as expected",1233,good product works expected,0.4404,positive,Positive
good,1234,good,0.4404,positive,Positive
"Good product, works as expected",1235,good product works expected,0.4404,positive,Positive
"Good product, works as expected",1236,good product works expected,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,1237,ladder feels bit shakynot worth price,0.2263,positive,Negative
Very sturdy and feels safe to use. Highly recommended!,1238,sturdy feels safe use highly recommended,0.6115,positive,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1239,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"Some scratches were present upon delivery, but it's functional",1240,scratches present upon delivery functional,0.0,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1241,easy fold store perfect small space,0.765,positive,Positive
good,1242,good,0.4404,positive,Positive
good product,1243,good product,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,1244,height right cleaning painting tasks,0.0,neutral,Positive
,1245,,,neutral,Neutral
This ladder is compact and easy to carry around,1246,ladder compact easy carry around,0.4404,positive,Positive
,1247,,,neutral,Neutral
This ladder is compact and easy to carry around,1248,ladder compact easy carry around,0.4404,positive,Positive
"Some scratches were present upon delivery, but it's functional",1249,scratches present upon delivery functional,0.0,neutral,Neutral
,1250,,,neutral,Neutral
Sturdy and reliable,1251,sturdy reliable,0.0,neutral,Neutral
good product,1252,good product,0.4404,positive,Positive
good product,1253,good product,0.4404,positive,Positive
Easy to fold and store. Perfect for my small space!,1254,easy fold store perfect small space,0.765,positive,Positive
The quality is excellent; I feel safe using it,1255,quality excellent feel safe using,0.765,positive,Positive
Sturdy and reliable,1256,sturdy reliable,0.0,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",1257,scratches present upon delivery functional,0.0,neutral,Neutral
Easy to fold and store. Perfect for my small space!,1258,easy fold store perfect small space,0.765,positive,Positive
,1259,,,neutral,Neutral
This ladder is compact and easy to carry around,1260,ladder compact easy carry around,0.4404,positive,Positive
Easy to fold and store. Perfect for my small space!,1261,easy fold store perfect small space,0.765,positive,Positive
Not satisfied. Expected better build quality.,1262,not satisfied expected better build quality,-0.5773,negative,Negative
,1263,,,neutral,Neutral
The ladder feels a bit shakyNot worth the price,1264,ladder feels bit shakynot worth price,0.2263,positive,Negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1265,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
The ladder feels a bit shakyNot worth the price,1266,ladder feels bit shakynot worth price,0.2263,positive,Negative
The quality is excellent; I feel safe using it,1267,quality excellent feel safe using,0.765,positive,Positive
The quality is excellent; I feel safe using it,1268,quality excellent feel safe using,0.765,positive,Positive
,1269,,,neutral,Neutral
Not satisfied. Expected better build quality.,1270,not satisfied expected better build quality,-0.5773,negative,Negative
The ladder feels a bit shakyNot worth the price,1271,ladder feels bit shakynot worth price,0.2263,positive,Negative
The ladder feels a bit shakyNot worth the price,1272,ladder feels bit shakynot worth price,0.2263,positive,Negative
Very sturdy and feels safe to use. Highly recommended!,1273,sturdy feels safe use highly recommended,0.6115,positive,Positive
The quality is excellent; I feel safe using it,1274,quality excellent feel safe using,0.765,positive,Positive
"A bit heavy to handle, but overall it does the job well",1275,bit heavy handle overall job well,0.2732,positive,Positive
This ladder is compact and easy to carry around,1276,ladder compact easy carry around,0.4404,positive,Positive
Not happy with the stability; it wobbles a bit,1277,not happy stability wobbles bit,-0.4585,negative,Negative
"Some scratches were present upon delivery, but it's functional",1278,scratches present upon delivery functional,0.0,neutral,Neutral
"A bit heavy to handle, but overall it does the job well",1279,bit heavy handle overall job well,0.2732,positive,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",1280,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
Sturdy and reliable,1281,sturdy reliable,0.0,neutral,Neutral
